Symbol: ES
Interval: weekly

Date,Open,High,Low,Close,Volume
,ES=F,ES=F,ES=F,ES=F,ES=F
2024-11-11,6030.0,6053.25,5876.75,5896.5,7469573
2024-11-18,5899.75,5993.5,5855.0,5987.0,7983764
2024-11-25,6006.0,6060.0,5976.25,6051.5,6119086
2024-12-02,6051.5,6111.0,6036.0,6099.0,5409592
2024-12-09,6096.25,6105.75,6039.75,6055.5,7535805
2024-12-16,6055.5,6090.5,5800.75,5840.259765625,6445930
2024-12-23,6001.75,6107.5,5965.0,6027.0,4592806
2024-12-30,6028.75,6036.25,5874.75,5989.5,5989922
2025-01-06,5994.5,6068.25,5845.25,5866.25,7327278
2025-01-13,5864.5,6051.5,5809.0,6033.5,8236715
2025-01-20,6032.25,6162.25,5994.5,6133.25,6783395
2025-01-27,6102.25,6147.75,5948.0,6067.25,8996991
2025-02-03,5982.25,6123.25,5935.5,6049.5,7727220
2025-02-10,6016.0,6146.75,6014.0,6132.0,6123644
2025-02-17,6138.25,6166.5,6024.5,6029.0,6643872
2025-02-24,6040.75,6067.5,5848.0,5963.25,11278727
2025-03-03,5967.5,6000.5,5673.0,5776.0,13117289
2025-03-10,5753.0,5757.75,5509.25,5640.0,11574535
2025-03-17,5626.75,5718.5,5597.5,5617.7998046875,5945517
2025-03-24,5740.0,5837.25,5602.25,5623.0,7453905
2025-03-31,5590.0,5773.25,5074.0,5110.25,12310374
2025-04-07,5007.0,5528.75,4832.0,5391.25,13491712
2025-04-14,5452.5,5497.75,5391.0,5470.5,2306280
